doc/bookname,doc/authors,doc/publisher,doc/publication_year/0,doc/isbn13,doc/set_isbn13,doc/bookImageURL,doc/addition_symbol,doc/vol,doc/class_no,doc/book_count,doc/loan_count,doc/reg_date
(50대 사건으로 보는)돈의 역사=The History of Money,홍춘욱 지음,Rok Media(로크미디어),2019,9791135422225,,https://image.aladin.co.kr/product/18961/78/cover/k502635582_1.jpg,0,,320.9,1,17,2019-06-29
(아이가 앞에 가고 엄마가 뒤따라가는)아이표 영어,아이걸음 지음,혜다,2019,9791196219376,,https://image.aladin.co.kr/product/18812/60/cover/k092635781_1.jpg,1,,740.7,1,9,2019-06-29
"직장이 없는 시대가 온다:경제적 자유인가, 아니면 불안한 미래인가",새라 케슬러 지음;김고명 옮김,길벗,2019,9791160507171,,https://image.aladin.co.kr/product/18156/73/cover/k132534142_1.jpg,0,,321.52,1,6,2019-06-29
무민은 채식주의자,구병모 외 지음,걷는사람,2019,9791189128197,,https://image.aladin.co.kr/product/17425/1/cover/k512534909_1.jpg,0,,813.6,1,5,2019-06-29
네이티브 영어표현력 사전=English expression power-up dictionary:진짜 영어로 가는 17가지 핵심 법칙,이창수 지음,Darakwon,2018,9788927701057,,https://image.aladin.co.kr/product/17168/65/cover/8927701054_1.jpg,1,,747.5,1,8,2019-06-29
레이튼 미스터리 탐정사무소:카트리에일의 수수께끼 파일,안치현 글;팀키즈 그림,미래엔,2019,9791164130528,,https://image.aladin.co.kr/product/18933/16/cover/k162635284_1.jpg,7,1,813.8,1,14,2019-06-29
1학년이 꼭! 읽어야 할 교과서 수수께끼,HR 기획 엮음;강진호 그림,효리원,2017,9788928105694,,https://bookthumb-phinf.pstatic.net/cover/123/314/12331492.jpg?type=m1&udate=20170814,6,2,388.6,1,8,2019-06-29
"(카카오톡, 라인, 아이 메시지&페이스북 메신저와 함께하는)이모티콘으로 돈벌기",김영삼 지음,한빛미디어,2019,9791162241547,,https://image.aladin.co.kr/product/18658/68/cover/k462635463_1.jpg,1,,331.62,1,5,2019-06-29
용감한 소방차 레이,연두세상 편집부 [지음],연두세상,2019,9791187321224,,https://image.aladin.co.kr/product/18898/8/cover/k612635081_1.jpg,7,2,372.42,1,8,2019-06-29
40일 만에 기억력 천재가 된다:깜빡깜빡하는 사람들을 위한 기억 훈련법,Dr Gareth Moore 지음;윤동준 옮김,다빈치하우스,2019,9791158740467,,https://image.aladin.co.kr/product/18193/5/cover/k292534348_1.jpg,1,,181.4,1,5,2019-06-29
하루 5분 아침일기:최고의 삶을 만드는 가장 쉬운 습관,인텔리전트 체인지 지음;정지현 옮김,심야책방,2017,9791158730956,,https://image.aladin.co.kr/product/12171/98/cover/k132531341_1.jpg,1,,325.04,1,2,2019-06-29
"엄마의 책모임:책, 수다에서 토론까지",강원임 지음,이비컴,2019,9788962451610,,https://image.aladin.co.kr/product/17640/15/cover/8962451611_1.jpg,0,,29.8,1,4,2019-06-29
숲에는 길이 많아요,박경화 글;김진화 그림,창비,2018,9788936447311,,https://bookthumb-phinf.pstatic.net/cover/140/284/14028401.jpg?type=m1&udate=20180918,7,,472.52642,1,1,2019-06-29
"글로벌 거지 부부:국적 초월, 나이 초월, 상식 초월, 9살 연상연하 커플의 무일푼 여행기",박건우 지음,태일소담,2014,9788973817443,,http://image.aladin.co.kr/product/3899/47/cover/8973817442_1.jpg,0,,816.6,1,2,2019-06-29
자제력 수업:실패의 유혹을 물리치는 힘,피터 홀린스 지음;공민희 옮김,포레스트북스,2019,9791189584160,,https://image.aladin.co.kr/product/18242/19/cover/k892534541_1.jpg,0,,189,1,3,2019-06-29
콘텐츠가 리드하는 도시:서울에서 주목해야 할 스물다섯 개의 공유 공간,스페이스클라우드 도시작가 지음,Nspace(앤스페이스),2019,9791196589301,,https://image.aladin.co.kr/product/18800/37/cover/k202635577_1.jpg,0,,539.7,1,2,2019-06-29
